# chinese医学知识三元组
# 总计: 787 条

(人参, 功效, 气血不足)
(人参, 功效, 痰湿)
(人参, 功效, 肝郁)
(人参, 功效, 肾阳虚)
(人参, 功效, 肾阴虚)
(人参, 功效, 脾气虚)
(人参, 功效, 脾胃虚弱)
(人参, 功效, 血瘀)
(人参, 功效, 阴虚火旺)
(人参, 治疗, 乏力)
(人参, 治疗, 便秘)
(人参, 治疗, 出汗)
(人参, 治疗, 发热)
(人参, 治疗, 呕吐)
(人参, 治疗, 咳嗽)
(人参, 治疗, 失眠)
(人参, 治疗, 头晕)
(人参, 治疗, 心悸)
(人参, 治疗, 恶心)
(人参, 治疗, 疼痛)
(人参, 治疗, 胸闷)
(人参, 治疗, 腹泻)
(人参, 治疗, 腹胀)
(人参, 配伍, 人参)
(人参, 配伍, 甘草)
(人参, 配伍, 白术)
(党参, 功效, 气血不足)
(党参, 功效, 痰湿)
(党参, 功效, 肾阳虚)
(党参, 功效, 肾阴虚)
(党参, 功效, 脾气虚)
(党参, 功效, 脾胃虚弱)
(党参, 功效, 血瘀)
(党参, 功效, 阴虚火旺)
(党参, 治疗, 乏力)
(党参, 治疗, 发热)
(党参, 治疗, 呕吐)
(党参, 治疗, 咳嗽)
(党参, 治疗, 失眠)
(党参, 治疗, 头晕)
(党参, 治疗, 心悸)
(党参, 治疗, 疼痛)
(党参, 治疗, 胸闷)
(党参, 治疗, 腹胀)
(六味地黄丸, 主治, 糖尿病)
(六味地黄丸, 主治, 肝炎)
(六味地黄丸, 主治, 肾炎)
(六味地黄丸, 主治, 高血压)
(六味地黄丸, 包含, 人参)
(六味地黄丸, 包含, 党参)
(六味地黄丸, 包含, 半夏)
(六味地黄丸, 包含, 川芎)
(六味地黄丸, 包含, 当归)
(六味地黄丸, 包含, 枸杞)
(六味地黄丸, 包含, 柴胡)
(六味地黄丸, 包含, 甘草)
(六味地黄丸, 包含, 白术)
(六味地黄丸, 包含, 白芍)
(六味地黄丸, 包含, 茯苓)
(六味地黄丸, 包含, 黄芩)
(六味地黄丸, 包含, 黄芪)
(六味地黄丸, 包含, 黄连)
(六味地黄丸, 治疗, 肾阳虚)
(六味地黄丸, 治疗, 肾阴虚)
(半夏, 功效, 痰湿)
(半夏, 功效, 肝郁)
(半夏, 功效, 脾胃虚弱)
(半夏, 功效, 血瘀)
(半夏, 治疗, 乏力)
(半夏, 治疗, 便秘)
(半夏, 治疗, 发热)
(半夏, 治疗, 呕吐)
(半夏, 治疗, 咳嗽)
(半夏, 治疗, 失眠)
(半夏, 治疗, 头晕)
(半夏, 治疗, 心悸)
(半夏, 治疗, 恶心)
(半夏, 治疗, 疼痛)
(半夏, 治疗, 胸闷)
(半夏, 治疗, 腹泻)
(半夏, 治疗, 腹胀)
(半夏, 配伍, 半夏)
(半夏, 配伍, 黄芩)
(四君子汤, 主治, 肝炎)
(四君子汤, 主治, 肠炎)
(四君子汤, 主治, 胃炎)
(四君子汤, 主治, 贫血)
(四君子汤, 包含, 人参)
(四君子汤, 包含, 党参)
(四君子汤, 包含, 半夏)
(四君子汤, 包含, 川芎)
(四君子汤, 包含, 当归)
(四君子汤, 包含, 柴胡)
(四君子汤, 包含, 甘草)
(四君子汤, 包含, 白术)
(四君子汤, 包含, 白芍)
(四君子汤, 包含, 茯苓)
(四君子汤, 包含, 黄芪)
(四君子汤, 治疗, 痰湿)
(四君子汤, 治疗, 肾阳虚)
(四君子汤, 治疗, 脾气虚)
(四君子汤, 治疗, 脾胃虚弱)
(头孢, 治疗, 肺炎)
(头孢, 缓解, 出汗)
(头孢, 缓解, 发热)
(头孢, 缓解, 呕吐)
(头孢, 缓解, 咳嗽)
(头孢, 缓解, 恶心)
(头孢, 缓解, 疼痛)
(奥美拉唑, 治疗, 肺炎)
(奥美拉唑, 缓解, 便秘)
(奥美拉唑, 缓解, 恶心)
(小柴胡汤, 主治, 肝炎)
(小柴胡汤, 主治, 肺炎)
(小柴胡汤, 主治, 胃炎)
(小柴胡汤, 包含, 人参)
(小柴胡汤, 包含, 半夏)
(小柴胡汤, 包含, 当归)
(小柴胡汤, 包含, 柴胡)
(小柴胡汤, 包含, 甘草)
(小柴胡汤, 包含, 白术)
(小柴胡汤, 包含, 白芍)
(小柴胡汤, 包含, 茯苓)
(小柴胡汤, 包含, 黄芩)
(小柴胡汤, 包含, 黄连)
(小柴胡汤, 治疗, 气血不足)
(小柴胡汤, 治疗, 痰湿)
(小柴胡汤, 治疗, 肝郁)
(小柴胡汤, 治疗, 脾气虚)
(小柴胡汤, 治疗, 脾胃虚弱)
(川芎, 功效, 气血不足)
(川芎, 功效, 痰湿)
(川芎, 功效, 肝郁)
(川芎, 功效, 血瘀)
(川芎, 治疗, 便秘)
(川芎, 治疗, 发热)
(川芎, 治疗, 呕吐)
(川芎, 治疗, 失眠)
(川芎, 治疗, 头晕)
(川芎, 治疗, 心悸)
(川芎, 治疗, 恶心)
(川芎, 治疗, 疼痛)
(川芎, 治疗, 胸闷)
(川芎, 治疗, 腹胀)
(布洛芬, 缓解, 乏力)
(布洛芬, 缓解, 发热)
(布洛芬, 缓解, 头晕)
(布洛芬, 缓解, 疼痛)
(当归, 功效, 气血不足)
(当归, 功效, 痰湿)
(当归, 功效, 肝郁)
(当归, 功效, 肾阳虚)
(当归, 功效, 肾阴虚)
(当归, 功效, 脾气虚)
(当归, 功效, 脾胃虚弱)
(当归, 功效, 血瘀)
(当归, 功效, 阴虚火旺)
(当归, 治疗, 乏力)
(当归, 治疗, 便秘)
(当归, 治疗, 发热)
(当归, 治疗, 呕吐)
(当归, 治疗, 咳嗽)
(当归, 治疗, 失眠)
(当归, 治疗, 头晕)
(当归, 治疗, 心悸)
(当归, 治疗, 疼痛)
(当归, 治疗, 胸闷)
(当归, 治疗, 腹胀)
(当归, 配伍, 当归)
(心律不齐, 表现为, 乏力)
(心律不齐, 表现为, 便秘)
(心律不齐, 表现为, 呕吐)
(心律不齐, 表现为, 咳嗽)
(心律不齐, 表现为, 失眠)
(心律不齐, 表现为, 头晕)
(心律不齐, 表现为, 心悸)
(心律不齐, 表现为, 恶心)
(心律不齐, 表现为, 疼痛)
(心律不齐, 表现为, 胸闷)
(心律不齐, 表现为, 腹泻)
(心律不齐, 表现为, 腹胀)
(心脏病, 表现为, 乏力)
(心脏病, 表现为, 便秘)
(心脏病, 表现为, 发热)
(心脏病, 表现为, 呕吐)
(心脏病, 表现为, 咳嗽)
(心脏病, 表现为, 失眠)
(心脏病, 表现为, 头晕)
(心脏病, 表现为, 心悸)
(心脏病, 表现为, 恶心)
(心脏病, 表现为, 疼痛)
(心脏病, 表现为, 胸闷)
(心脏病, 表现为, 腹泻)
(枸杞, 功效, 肝郁)
(枸杞, 功效, 肾阳虚)
(枸杞, 功效, 肾阴虚)
(枸杞, 功效, 脾气虚)
(枸杞, 功效, 脾胃虚弱)
(枸杞, 功效, 血瘀)
(枸杞, 功效, 阴虚火旺)
(枸杞, 治疗, 乏力)
(枸杞, 治疗, 便秘)
(枸杞, 治疗, 发热)
(枸杞, 治疗, 咳嗽)
(枸杞, 治疗, 失眠)
(枸杞, 治疗, 头晕)
(枸杞, 治疗, 心悸)
(枸杞, 治疗, 疼痛)
(枸杞, 配伍, 当归)
(柴胡, 功效, 痰湿)
(柴胡, 功效, 肝郁)
(柴胡, 功效, 肾阳虚)
(柴胡, 功效, 肾阴虚)
(柴胡, 功效, 脾气虚)
(柴胡, 功效, 血瘀)
(柴胡, 功效, 阴虚火旺)
(柴胡, 治疗, 便秘)
(柴胡, 治疗, 发热)
(柴胡, 治疗, 呕吐)
(柴胡, 治疗, 咳嗽)
(柴胡, 治疗, 失眠)
(柴胡, 治疗, 头晕)
(柴胡, 治疗, 心悸)
(柴胡, 治疗, 恶心)
(柴胡, 治疗, 疼痛)
(柴胡, 治疗, 胸闷)
(柴胡, 治疗, 腹胀)
(柴胡, 配伍, 川芎)
(柴胡, 配伍, 柴胡)
(柴胡, 配伍, 黄芪)
(桂枝汤, 主治, 心律不齐)
(桂枝汤, 主治, 糖尿病)
(桂枝汤, 主治, 肠炎)
(桂枝汤, 主治, 胃炎)
(桂枝汤, 包含, 人参)
(桂枝汤, 包含, 半夏)
(桂枝汤, 包含, 当归)
(桂枝汤, 包含, 柴胡)
(桂枝汤, 包含, 甘草)
(桂枝汤, 包含, 白术)
(桂枝汤, 包含, 白芍)
(桂枝汤, 包含, 茯苓)
(桂枝汤, 包含, 黄芩)
(桂枝汤, 包含, 黄芪)
(桂枝汤, 包含, 黄连)
(气血不足, 对应, 糖尿病)
(气血不足, 对应, 胃炎)
(气血不足, 对应, 贫血)
(气血不足, 症候表现, 乏力)
(气血不足, 症候表现, 便秘)
(气血不足, 症候表现, 发热)
(气血不足, 症候表现, 咳嗽)
(气血不足, 症候表现, 失眠)
(气血不足, 症候表现, 头晕)
(气血不足, 症候表现, 心悸)
(气血不足, 症候表现, 疼痛)
(气血不足, 症候表现, 腹泻)
(气血不足, 症候表现, 腹胀)
(氯霉素, 成分, 人参)
(氯霉素, 治疗, 糖尿病)
(氯霉素, 治疗, 肺炎)
(氯霉素, 治疗, 贫血)
(氯霉素, 缓解, 呕吐)
(氯霉素, 缓解, 腹胀)
(甘草, 功效, 气血不足)
(甘草, 功效, 肝郁)
(甘草, 功效, 肾阳虚)
(甘草, 功效, 肾阴虚)
(甘草, 功效, 脾气虚)
(甘草, 功效, 脾胃虚弱)
(甘草, 治疗, 乏力)
(甘草, 治疗, 便秘)
(甘草, 治疗, 发热)
(甘草, 治疗, 呕吐)
(甘草, 治疗, 咳嗽)
(甘草, 治疗, 失眠)
(甘草, 治疗, 头晕)
(甘草, 治疗, 心悸)
(甘草, 治疗, 疼痛)
