# western医学知识三元组
# 总计: 167 条

(人参, 治疗, 失眠)
(党参, 功效, 肝郁)
(党参, 功效, 肾阳虚)
(党参, 功效, 脾气虚)
(党参, 功效, 脾胃虚弱)
(党参, 功效, 血瘀)
(党参, 治疗, 乏力)
(党参, 治疗, 腹泻)
(六味地黄丸, 包含, 当归)
(六味地黄丸, 包含, 柴胡)
(半夏, 功效, 痰湿)
(半夏, 功效, 血瘀)
(半夏, 治疗, 乏力)
(半夏, 治疗, 呕吐)
(半夏, 治疗, 失眠)
(四君子汤, 包含, 党参)
(四君子汤, 包含, 当归)
(四君子汤, 包含, 柴胡)
(四君子汤, 包含, 甘草)
(四君子汤, 包含, 白术)
(四君子汤, 包含, 茯苓)
(四君子汤, 包含, 黄芪)
(四君子汤, 治疗, 肝郁)
(奥美拉唑, 成分, 黄芪)
(奥美拉唑, 成分, 黄连)
(奥美拉唑, 治疗, 胃溃疡)
(奥美拉唑, 缓解, 腹胀)
(小柴胡汤, 主治, 糖尿病)
(小柴胡汤, 主治, 胃炎)
(小柴胡汤, 包含, 人参)
(小柴胡汤, 包含, 党参)
(小柴胡汤, 包含, 半夏)
(小柴胡汤, 包含, 柴胡)
(小柴胡汤, 包含, 甘草)
(小柴胡汤, 包含, 黄芩)
(川芎, 功效, 血瘀)
(川芎, 治疗, 疼痛)
(布洛芬, 成分, 当归)
(布洛芬, 缓解, 疼痛)
(当归, 功效, 肝郁)
(当归, 功效, 血瘀)
(当归, 治疗, 疼痛)
(当归, 治疗, 腹胀)
(当归, 配伍, 当归)
(柴胡, 功效, 肝郁)
(柴胡, 功效, 脾胃虚弱)
(柴胡, 功效, 血瘀)
(柴胡, 治疗, 乏力)
(柴胡, 治疗, 腹泻)
(柴胡, 治疗, 腹胀)
(桂枝汤, 包含, 人参)
(桂枝汤, 包含, 柴胡)
(桂枝汤, 包含, 黄连)
(桂枝汤, 治疗, 肝郁)
(气血不足, 对应, 贫血)
(气血不足, 症候表现, 乏力)
(气血不足, 症候表现, 头晕)
(气血不足, 症候表现, 心悸)
(甘草, 功效, 肝郁)
(甘草, 功效, 肾阳虚)
(甘草, 功效, 脾气虚)
